City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.77,broken clouds,3.07,172.79,Isles Sunset Lodge
1,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,San Andres,CO,80.6,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
4,Santa Maria Da Vitoria,BR,86.5,overcast clouds,-13.39,-44.19,Pousada do Rio Corrente
5,Hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
6,Matara,LK,78.48,clear sky,5.95,80.54,Amaloh Boutique Resort
12,Rikitea,PF,74.86,light rain,-23.12,-134.97,Pension Maro'i
14,Iquitos,PE,80.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
15,Bac Lieu,VN,79.2,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
16,Kalmunai,LK,81.72,broken clouds,7.42,81.82,VS Villa
18,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
20,Galesong,ID,82.09,overcast clouds,-5.32,119.37,Sapriadi Appy
21,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
26,Hermanus,ZA,73.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
27,Honiara,SB,73.4,scattered clouds,-9.43,159.95,Heritage Park Hotel
28,Aguimes,ES,82.4,clear sky,27.91,-15.45,Hotel Villa de Aguimes
29,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
30,Biltine,TD,86.09,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
32,Basoko,CD,79.45,light rain,1.24,23.62,Flat Hotel La Benediction
36,Catamarca,AR,82.0,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
38,Rawah,IQ,72.97,scattered clouds,34.48,41.91,المملكة الراوية الهاشمية
39,The Valley,AI,86.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
45,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
50,Faanui,PF,79.23,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
52,Bilma,NE,80.46,clear sky,18.69,12.92,Expeditions Ténére voyages
54,Cayenne,GF,82.4,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
55,Kahului,US,71.6,clear sky,20.89,-156.47,Maui Seaside Hotel
57,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
60,Cape Town,ZA,73.4,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
66,Rio Branco,BR,77.0,clear sky,-9.97,-67.81,João Paulo Hotel
67,Atuona,PF,77.9,scattered clouds,-9.8,-139.03,Villa Enata
71,Bengkulu,ID,75.83,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
72,Erzin,TR,75.99,scattered clouds,36.96,36.2,Artemis Otel
75,Hithadhoo,MV,83.48,light rain,-0.6,73.08,Scoop Guest House
77,Comodoro Rivadavia,AR,73.4,clear sky,-45.87,-67.5,Austral Hotel
85,Inhambane,MZ,82.0,few clouds,-23.86,35.38,Oceano
87,Mendoza,AR,77.0,clear sky,-32.89,-68.83,Hotel Mendoza
89,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
90,Ponta Do Sol,PT,73.0,few clouds,32.67,-17.1,Hotel do Campo
91,Kendari,ID,76.82,overcast clouds,-3.94,122.5,Hotel Wixel
97,Elat,IL,75.2,thunderstorm,29.56,34.95,Club Hotel Eilat
98,Naliya,IN,82.8,clear sky,23.27,68.83,Hotel Panchvati
110,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
115,Agadir,MA,82.4,clear sky,30.42,-9.6,Iberostar Founty Beach
117,Samarai,PG,81.16,clear sky,-10.62,150.67,Nuli Sapi
120,Vao,NC,73.89,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
122,Sao Filipe,CV,80.11,clear sky,14.9,-24.5,Tortuga B&B
125,Japura,ID,74.75,overcast clouds,-0.32,102.35,Rumah mbah Jamah
127,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
134,Lata,PT,77.0,broken clouds,40.16,-8.33,Casa Maquia
140,Puerto Leguizamo,CO,83.52,light rain,-0.19,-74.78,la casona de juancho
144,Pandan,PH,78.64,broken clouds,14.05,124.17,Bonifacio Lodge
145,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
147,Safaga,EG,78.8,scattered clouds,26.73,33.94,Lamar Resort Abu Soma
148,Salumbar,IN,72.68,clear sky,24.13,74.05,chatra chaya guest house
149,Saint-Philippe,RE,71.6,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
150,Camacha,PT,71.6,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
151,Esmeralda,CU,86.0,broken clouds,21.85,-78.12,campismo las palmas
159,El Guayabito,HN,80.6,scattered clouds,14.83,-86.03,Motaña La Beyota
163,Yulara,AU,82.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
168,Velasco Ibarra,EC,83.19,overcast clouds,-1.05,-79.62,White Room Studio
169,Ewa Beach,US,71.6,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
176,Bahia Honda,CU,83.46,few clouds,22.9,-83.16,Casa Gualberto - Deysi
179,Lorengau,PG,82.71,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
183,Luwuk,ID,77.63,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
186,San Quintin,MX,72.86,clear sky,30.48,-115.95,Old Mill Hotel
189,Pergamino,AR,78.01,clear sky,-33.89,-60.57,Hotel Fachinat
197,Puerto Maldonado,PE,86.0,clear sky,-12.6,-69.18,Wasai Hotel
203,Lampang,TH,73.49,clear sky,18.33,99.5,Mrs Luis Guest House
204,Badah,PK,73.87,clear sky,27.33,68.01,JEELANI GUEST HOUSE BADAH
210,Kruisfontein,ZA,72.0,few clouds,-34.0,24.73,Oyster Bay House Rental
219,Teluknaga,ID,79.0,few clouds,-6.1,106.64,Bale Ocasa hotel
221,Coahuayana,MX,88.41,scattered clouds,18.73,-103.68,Hotel Los Arcos
222,Lamu,KE,80.6,few clouds,-2.27,40.9,Lamu House
224,Euclides Da Cunha,BR,87.55,overcast clouds,-10.51,-39.02,Hotel e Posto Bastos
225,Utran,IN,84.2,clear sky,21.23,72.87,Durga Residency
227,Salta,AR,71.6,clear sky,-24.79,-65.41,Hotel Alejandro I
228,Gulu,UG,70.03,light rain,2.77,32.3,ACHOLI INN
229,Barinas,VE,74.7,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
230,Saint-Pierre,RE,71.6,few clouds,-21.34,55.48,Lindsey Hôtel
231,Sorong,ID,81.72,light rain,-0.88,131.25,The Waigo Hotel
236,Bonanza,NI,83.3,broken clouds,14.03,-84.59,Edificio Administrativo HEMCO
240,Gat,IL,77.0,light rain,31.61,34.76,OlusHome
241,Gorontalo,ID,76.5,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
242,Beira,MZ,80.01,few clouds,-19.84,34.84,Beira Terrace Hotel
243,Kismayo,SO,80.19,clear sky,-0.36,42.55,Agan-Hotel
245,Saldanha,ZA,84.2,clear sky,-33.01,17.94,Blue Bay Lodge
250,Ambulu,ID,76.46,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
252,Mocuba,MZ,77.27,overcast clouds,-16.84,36.99,Phama Lodge
