City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,2020-11-01 15:35:57,3.07,172.79,81.77,76,62,9.73,broken clouds
1,Vaini,TO,2020-11-01 15:35:58,-21.2,-175.2,73.4,88,75,6.93,broken clouds
2,Yellowknife,CA,2020-11-01 15:35:58,62.46,-114.35,16.0,85,75,9.17,light snow
3,San Andres,CO,2020-11-01 15:35:58,12.58,-81.7,80.6,88,75,4.7,light intensity drizzle
4,Santa Maria Da Vitoria,BR,2020-11-01 15:35:58,-13.39,-44.19,86.5,51,100,4.65,overcast clouds
5,Hilo,US,2020-11-01 15:32:56,19.73,-155.09,71.6,73,75,5.82,broken clouds
6,Matara,LK,2020-11-01 15:35:58,5.95,80.54,78.48,83,10,6.87,clear sky
7,Port Alfred,ZA,2020-11-01 15:35:58,-33.59,26.89,67.32,76,64,23.67,broken clouds
8,Provideniya,RU,2020-11-01 15:35:59,64.38,-173.3,21.92,86,0,2.42,clear sky
9,Soe,ID,2020-11-01 15:35:59,-9.86,124.28,68.45,93,45,3.91,scattered clouds
10,Svetlaya,RU,2020-11-01 15:35:59,46.54,138.33,44.56,85,61,2.93,broken clouds
11,Pontal Do Parana,BR,2020-11-01 15:35:59,-25.65,-48.51,62.6,67,75,8.05,broken clouds
12,Rikitea,PF,2020-11-01 15:35:59,-23.12,-134.97,74.86,83,44,12.86,light rain
13,Kapaa,US,2020-11-01 15:35:33,22.08,-159.32,69.8,88,1,8.05,clear sky
14,Iquitos,PE,2020-11-01 15:34:18,-3.75,-73.25,80.6,74,75,4.7,broken clouds
15,Bac Lieu,VN,2020-11-01 15:36:00,9.29,105.72,79.2,85,100,7.29,overcast clouds
16,Kalmunai,LK,2020-11-01 15:31:41,7.42,81.82,81.72,72,55,4.45,broken clouds
17,Albany,US,2020-11-01 15:31:09,42.6,-73.97,46.99,74,99,1.01,overcast clouds
18,Arraial Do Cabo,BR,2020-11-01 15:36:00,-22.97,-42.03,77.0,64,75,13.87,broken clouds
19,Hobart,AU,2020-11-01 15:35:11,-42.88,147.33,57.2,82,90,5.82,overcast clouds
20,Galesong,ID,2020-11-01 15:36:00,-5.32,119.37,82.09,75,100,4.92,overcast clouds
21,Avarua,CK,2020-11-01 15:36:01,-21.21,-159.78,75.2,88,93,10.29,light rain
22,Ushuaia,AR,2020-11-01 15:33:23,-54.8,-68.3,48.2,70,40,8.88,scattered clouds
23,Jamestown,US,2020-11-01 15:33:06,42.1,-79.24,46.99,87,90,12.75,light rain
24,Katangi,IN,2020-11-01 15:36:01,23.45,79.78,66.99,37,0,1.83,clear sky
25,Port Elizabeth,ZA,2020-11-01 15:36:01,-33.92,25.57,68.0,72,0,18.34,clear sky
26,Hermanus,ZA,2020-11-01 15:36:01,-34.42,19.23,73.99,60,0,7.0,clear sky
27,Honiara,SB,2020-11-01 15:36:01,-9.43,159.95,73.4,100,40,3.36,scattered clouds
28,Aguimes,ES,2020-11-01 15:36:02,27.91,-15.45,82.4,37,0,17.22,clear sky
29,Victoria,HK,2020-11-01 15:34:09,22.29,114.16,75.0,80,9,10.25,clear sky
30,Biltine,TD,2020-11-01 15:36:02,14.53,20.92,86.09,23,87,8.77,overcast clouds
31,Vestmanna,FO,2020-11-01 15:36:02,62.16,-7.17,46.4,87,63,13.87,light rain
32,Basoko,CD,2020-11-01 15:36:02,1.24,23.62,79.45,73,43,2.98,light rain
33,Busselton,AU,2020-11-01 15:36:02,-33.65,115.33,54.0,94,91,6.31,overcast clouds
34,Deputatskiy,RU,2020-11-01 15:36:02,69.3,139.9,-13.54,89,100,6.31,overcast clouds
35,Broken Hill,AU,2020-11-01 15:31:06,-31.95,141.43,62.6,55,0,4.7,clear sky
36,Catamarca,AR,2020-11-01 15:36:03,-28.47,-65.79,82.0,32,0,8.01,clear sky
37,Castro,BR,2020-11-01 15:31:22,-24.79,-50.01,66.06,60,80,7.7,broken clouds
38,Rawah,IQ,2020-11-01 15:36:03,34.48,41.91,72.97,21,30,7.63,scattered clouds
39,The Valley,AI,2020-11-01 15:35:08,18.22,-63.06,86.0,70,40,18.34,scattered clouds
40,Fandriana,MG,2020-11-01 15:36:03,-20.23,47.38,61.07,84,91,3.24,overcast clouds
41,Abu Samrah,SY,2020-11-01 15:36:03,35.3,37.18,67.23,44,78,1.07,broken clouds
42,Ribeira Grande,PT,2020-11-01 15:36:03,38.52,-28.7,69.8,77,75,20.8,shower rain
43,Valdivia,CL,2020-11-01 15:35:59,-39.81,-73.25,68.0,56,0,4.7,clear sky
44,Mataura,NZ,2020-11-01 15:36:04,-46.19,168.86,50.0,69,89,11.01,overcast clouds
45,Abu Dhabi,AE,2020-11-01 15:36:04,24.47,54.37,82.4,69,0,4.7,clear sky
46,Hamilton,US,2020-11-01 15:32:36,39.18,-84.53,52.0,34,1,23.04,clear sky
47,Lasa,IT,2020-11-01 15:36:04,46.62,10.7,55.99,62,75,4.7,broken clouds
48,Nikolskoye,RU,2020-11-01 15:36:04,59.7,30.79,35.01,100,90,8.95,fog
49,Shahr-E Kord,IR,2020-11-01 15:36:04,32.33,50.86,50.0,18,0,6.93,clear sky
